epoch,acc,loss,val_acc,val_loss
0,0.32763244975858474,1.779240593553449,0.3928671029512349,1.665415077770477
1,0.43003936048344454,1.5092369263197645,0.4030370671321802,1.6574512274816993
2,0.4742763593303459,1.3980411882289894,0.46182781795657885,1.4912029164175065
3,0.506914208089094,1.322127943481745,0.45904152633403794,1.4831941013475354
4,0.520951617961601,1.2785874266576949,0.5054332798289269,1.3317352530911595
5,0.5355115120735382,1.245103245278279,0.5572583020920872,1.181259696772252
6,0.5458566999937027,1.2135167991966782,0.5684034678349092,1.1977236892734273
7,0.5573165209557703,1.1886751035786276,0.5417943843774026,1.267538925487518
8,0.5591626319314226,1.1767646771180866,0.5682641533331872,1.1640817543969708
9,0.5672785537677805,1.1550018770795467,0.5150459855545793,1.344367811881373
10,0.571946079627636,1.1438224290895413,0.5345500260736823,1.2403146602259054
11,0.5779372322273468,1.132329129446902,0.5837280707883782,1.129843981250992
12,0.5814901250499706,1.1216775370124175,0.5686820965581001,1.142155332969827
13,0.5832317391800206,1.109972335115579,0.5769016567371655,1.1119135364736479
14,0.5854261729771152,1.1042341816593078,0.5922262593792421,1.1161108612993462
15,0.5906510153610366,1.0910265902600662,0.5731401633742161,1.1699849267101745
16,0.5935420948155493,1.084043749485184,0.5735581069727999,1.1361511518940532
17,0.5961196837270267,1.0769499116334393,0.5940373496952479,1.095017617020842
18,0.5990455954589085,1.069819119151074,0.5771802858963057,1.1138598471672365
19,0.603016475673803,1.0656077742530923,0.5572583016748215,1.1928316570504955
20,0.60653453621231,1.0544443089052895,0.6001671902746103,1.0916335412842686
21,0.6060120519739179,1.0488079212822135,0.580245206584569,1.1332581921099918
22,0.6142324706538019,1.0401456875785557,0.6015603361616529,1.0781288700005442
23,0.6104357518589714,1.0409784791358208,0.6071329190040007,1.0617670091520397
24,0.616426904456087,1.0290008469133518,0.5986347300809849,1.0754561267313634
25,0.6168100595642413,1.0271340903703012,0.5792700043127177,1.210179797594022
26,0.6154167682629003,1.026256813207487,0.6078294919589396,1.0626159680223077
27,0.6166707304371176,1.0239654950344175,0.6089440085020826,1.114034343523841
28,0.6185516736932531,1.016597159122523,0.6057397733930593,1.0802157801127295
29,0.6228708767306282,1.012768418397179,0.5954304949844172,1.1034568464012406
30,0.6223483924943122,1.0090125611514449,0.5991919882207337,1.0582876537699957
31,0.6224528893388764,1.00586565655598,0.6018389653228691,1.0756439354159633
32,0.6278867254171165,0.9959924178653893,0.6093619524639574,1.0586380780829954
33,0.629071023026215,0.9965695038190261,0.5813597232190537,1.1341784040825833
34,0.6309171340039433,0.988217574373973,0.6170242534611476,1.0540818469056548
35,0.6313351213910238,0.991189812383971,0.6005851342157256,1.0845626019051429
36,0.6286878679201369,0.9875978021778828,0.6068542898344808,1.0792601100288748
